side,interval,ce,mean_infected,sdv_infected,p20,sdv20,p25,sdv25,p30,sdv30,p35,sdv35,p40,sdv40,p45,sdv45,p50,sdv50
5,1,10,50.84,9.0341,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5,1,9,50.33,8.8691,1.0,0.0,1.0,0.0,1.0,0.0,0.9997,0.0028,0.9998,0.0025,0.9991,0.0054,0.9964,0.0137
5,1,7,49.84,8.6484,1.0,0.0,1.0,0.0,0.9997,0.0033,0.9991,0.0063,0.9982,0.0073,0.9976,0.0082,0.9928,0.0187
5,1,5,49.27,8.4129,1.0,0.0,0.9996,0.004,0.9987,0.0065,0.9983,0.0079,0.997,0.0095,0.9953,0.0119,0.9876,0.0238
5,1,3,48.48,8.1369,1.0,0.0,0.9996,0.004,0.9983,0.0073,0.9969,0.0106,0.9948,0.0159,0.9905,0.0194,0.9818,0.0283
5,1,1,48.35,8.0924,1.0,0.0,0.9996,0.004,0.9983,0.0073,0.9971,0.0103,0.9948,0.0159,0.9907,0.0194,0.981,0.0296
5,5,10,107.95,14.7597,1.0,0.0,0.9664,0.0357,0.9137,0.0548,0.8549,0.0636,0.8015,0.0696,0.7602,0.0728,0.731,0.0679
5,5,9,105.75,15.0402,1.0,0.0,0.9668,0.0358,0.9133,0.0546,0.8554,0.0636,0.801,0.0697,0.7596,0.0722,0.731,0.0684
5,5,7,100.98,15.5557,1.0,0.0,0.9672,0.0359,0.914,0.0546,0.856,0.0634,0.802,0.0694,0.7604,0.0727,0.7324,0.0677
5,5,5,96.26,15.5323,1.0,0.0,0.968,0.0358,0.9153,0.0544,0.8554,0.0634,0.802,0.0686,0.7598,0.0725,0.7328,0.0671
5,5,3,91.91,14.9198,1.0,0.0,0.9684,0.0359,0.9163,0.0543,0.8557,0.0624,0.803,0.0686,0.7611,0.0719,0.7344,0.0674
5,5,1,88.68,14.5182,1.0,0.0,0.968,0.0358,0.9167,0.0543,0.8546,0.0626,0.8035,0.0697,0.7611,0.0724,0.7344,0.0681
5,10,10,141.74,11.5357,1.0,0.0,0.9524,0.0365,0.9007,0.0542,0.834,0.0654,0.7695,0.0692,0.72,0.0702,0.6836,0.0687
5,10,9,141.74,11.5357,1.0,0.0,0.9524,0.0365,0.9007,0.0542,0.834,0.0654,0.7695,0.0695,0.7202,0.0705,0.6834,0.0686
