side,interval,ce,mean_infected,sdv_infected,p20,sdv20,p25,sdv25,p30,sdv30,p35,sdv35,p40,sdv40,p45,sdv45,p50,sdv50
5,1,10,50.84,9.0341,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5,5,10,107.95,14.7597,1.0,0.0,0.9664,0.0357,0.9137,0.0548,0.8549,0.0636,0.8015,0.0696,0.7602,0.0728,0.731,0.0679
5,10,10,141.74,11.5357,1.0,0.0,0.9524,0.0365,0.9007,0.0542,0.834,0.0654,0.7695,0.0692,0.72,0.0702,0.6836,0.0687
5,15,10,170.62,11.1407,1.0,0.0,0.9464,0.0372,0.8863,0.0581,0.8166,0.0653,0.7522,0.0686,0.6978,0.0676,0.6614,0.0697
5,30,10,204.28,10.8407,1.0,0.0,0.938,0.0409,0.8697,0.0572,0.7994,0.0666,0.737,0.0667,0.6896,0.0697,0.651,0.0704
5,60,10,243.51,10.8835,1.0,0.0,0.9192,0.0431,0.8443,0.0527,0.7814,0.0654,0.7248,0.0683,0.6802,0.0728,0.645,0.0722
10,1,10,67.83,11.8229,1.0,0.0,0.9836,0.0247,0.9483,0.046,0.8951,0.0597,0.8527,0.0628,0.824,0.0635,0.8046,0.0651
10,5,10,119.08,11.8901,1.0,0.0,0.9584,0.0383,0.9027,0.0559,0.8354,0.0624,0.777,0.0667,0.7316,0.0674,0.6976,0.0703
10,10,10,158.47,12.142,1.0,0.0,0.9456,0.039,0.887,0.0573,0.8183,0.0666,0.754,0.0683,0.7027,0.0675,0.6684,0.0674
10,15,10,191.12,12.1304,1.0,0.0,0.9412,0.0377,0.8797,0.055,0.8077,0.064,0.743,0.0687,0.6942,0.0666,0.657,0.0645
10,30,10,230.18,10.7111,1.0,0.0,0.9296,0.042,0.8577,0.0565,0.788,0.068,0.7272,0.071,0.6798,0.0713,0.6476,0.0672
10,60,10,261.68,11.5325,1.0,0.0,0.9132,0.0446,0.8367,0.0496,0.7731,0.0594,0.7188,0.0692,0.6744,0.0703,0.6412,0.0706
20,1,10,87.05,14.4239,1.0,0.0,0.972,0.0337,0.9273,0.0542,0.87,0.0669,0.811,0.07,0.7698,0.0747,0.7436,0.0755
20,5,10,142.95,12.7839,1.0,0.0,0.948,0.039,0.8877,0.0559,0.8206,0.065,0.7578,0.0654,0.714,0.0689,0.6762,0.0672
20,10,10,175.81,11.8065,1.0,0.0,0.9444,0.0396,0.8783,0.0584,0.8117,0.0668,0.7468,0.0679,0.6938,0.0706,0.656,0.0685
20,15,10,198.15,11.2298,1.0,0.0,0.9396,0.0394,0.874,0.0553,0.802,0.0681,0.7357,0.0722,0.6844,0.072,0.6472,0.0705
20,30,10,233.14,11.5412,1.0,0.0,0.9288,0.0422,0.856,0.0549,0.7889,0.0653,0.7287,0.0703,0.68,0.0706,0.6448,0.0693
20,60,10,276.85,12.0949,1.0,0.0,0.9084,0.0474,0.833,0.0498,0.7689,0.0608,0.7168,0.066,0.6767,0.0683,0.6436,0.0726
50,1,10,102.12,15.6744,1.0,0.0,0.9652,0.0342,0.916,0.0561,0.8491,0.0721,0.782,0.067,0.7342,0.0733,0.6984,0.0732
50,5,10,176.78,13.129,1.0,0.0,0.944,0.0404,0.885,0.0544,0.816,0.0684,0.7533,0.0649,0.7076,0.0676,0.6668,0.0646
50,10,10,205.37,11.8192,1.0,0.0,0.9396,0.0398,0.8737,0.058,0.8071,0.0706,0.7415,0.0704,0.6927,0.0668,0.6532,0.0668
50,15,10,221.95,12.2077,1.0,0.0,0.9364,0.0396,0.8687,0.0573,0.7986,0.0681,0.7328,0.0704,0.684,0.0664,0.6474,0.0669
50,30,10,248.67,12.2467,1.0,0.0,0.926,0.0443,0.853,0.0548,0.7874,0.0644,0.7288,0.0699,0.6829,0.0703,0.6478,0.0693
50,60,10,278.3,13.2525,1.0,0.0,0.9044,0.0499,0.8233,0.0496,0.7611,0.0582,0.712,0.0631,0.6747,0.0681,0.64,0.0704
100,1,10,86.5,14.1954,1.0,0.0,0.964,0.0337,0.9137,0.0556,0.846,0.0719,0.7768,0.0758,0.7213,0.0739,0.6858,0.0742
100,5,10,181.52,13.6547,1.0,0.0,0.9396,0.0398,0.8793,0.0547,0.8106,0.0673,0.7455,0.0699,0.6947,0.071,0.657,0.068
100,10,10,218.97,11.6606,1.0,0.0,0.9372,0.0401,0.8693,0.0592,0.8,0.0665,0.7375,0.0715,0.6898,0.0699,0.6502,0.0685
100,15,10,235.06,11.4864,1.0,0.0,0.9352,0.0403,0.864,0.0551,0.7946,0.0671,0.7335,0.0705,0.6858,0.0673,0.6472,0.068
100,30,10,257.73,11.6515,1.0,0.0,0.9208,0.0449,0.8453,0.0522,0.7806,0.0585,0.7237,0.0656,0.6833,0.068,0.647,0.0728
100,60,10,286.42,13.4768,1.0,0.0,0.9008,0.0504,0.8113,0.0502,0.7554,0.0557,0.7112,0.0617,0.6711,0.0628,0.638,0.0684
