side,interval,ce,n_infected,index,20,25,30,35,40,45,50
5,1,10,49,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1,10,44,1,0.0,0.0,0.1,0.0857,0.1,0.1333,0.22
5,1,10,46,2,0.0,0.0,0.0333,0.0286,0.1,0.1333,0.2
5,1,10,54,3,0.0,0.0,0.0,0.0286,0.125,0.1333,0.16
5,1,10,36,4,0.0,0.08,0.1,0.0857,0.175,0.1778,0.2
5,1,10,64,5,0.05,0.16,0.2333,0.2857,0.375,0.4444,0.48
5,1,10,38,6,0.05,0.04,0.0667,0.0571,0.075,0.1111,0.14
5,1,10,53,7,0.05,0.04,0.0667,0.1429,0.275,0.3111,0.3
5,1,10,45,8,0.1,0.08,0.1333,0.1143,0.15,0.1556,0.24
5,1,10,52,9,0.0,0.16,0.2333,0.3143,0.35,0.3778,0.46
5,1,10,48,10,0.0,0.0,0.0667,0.0571,0.1,0.0889,0.2
5,1,10,57,11,0.05,0.16,0.2,0.2571,0.325,0.3556,0.4
5,1,10,41,12,0.1,0.16,0.2,0.2,0.25,0.2667,0.28
5,1,10,58,13,0.1,0.08,0.2,0.2857,0.35,0.3556,0.36
5,1,10,56,14,0.05,0.04,0.0333,0.1714,0.2,0.2667,0.3
5,1,10,54,15,0.0,0.12,0.1667,0.1714,0.15,0.2,0.22
5,1,10,55,16,0.1,0.08,0.1667,0.2286,0.25,0.3111,0.36
5,1,10,60,17,0.0,0.0,0.0,0.0571,0.075,0.1333,0.14
5,1,10,52,18,0.05,0.04,0.1333,0.2286,0.25,0.3111,0.36
5,1,10,57,19,0.1,0.08,0.0667,0.1714,0.2,0.2222,0.3
5,1,10,65,20,0.1,0.08,0.0667,0.1714,0.225,0.2444,0.3
5,1,10,51,21,0.1,0.2,0.2333,0.2,0.2,0.1778,0.24
5,1,10,53,22,0.05,0.04,0.1333,0.1714,0.225,0.2889,0.38
5,1,10,54,23,0.05,0.16,0.2667,0.2857,0.3,0.3778,0.36
5,1,10,49,24,0.05,0.08,0.1667,0.2857,0.35,0.4,0.46
5,1,10,65,25,0.1,0.08,0.1,0.1714,0.175,0.1778,0.22
5,1,10,65,26,0.1,0.08,0.1,0.2,0.225,0.2667,0.32
5,1,10,51,27,0.05,0.12,0.1,0.1143,0.125,0.1111,0.18
5,1,10,61,28,0.1,0.16,0.1333,0.2286,0.225,0.2444,0.26
5,1,10,76,29,0.15,0.16,0.2,0.3429,0.325,0.3111,0.36
5,1,10,59,30,0.05,0.04,0.0667,0.0857,0.175,0.2,0.22
5,1,10,36,31,0.0,0.04,0.1,0.1143,0.125,0.1778,0.24
5,1,10,52,32,0.1,0.08,0.1,0.1714,0.2,0.2667,0.34
5,1,10,73,33,0.05,0.12,0.1333,0.2,0.275,0.2889,0.36
5,1,10,50,34,0.05,0.12,0.1333,0.1714,0.275,0.3111,0.34
5,1,10,46,35,0.05,0.12,0.1333,0.1143,0.125,0.1778,0.24
5,1,10,38,36,0.0,0.04,0.0667,0.0571,0.075,0.1333,0.16
5,1,10,43,37,0.0,0.04,0.0333,0.1429,0.2,0.2444,0.28
5,1,10,45,38,0.0,0.0,0.0,0.0286,0.125,0.1778,0.2
5,1,10,55,39,0.05,0.08,0.1,0.1429,0.225,0.2667,0.3
5,1,10,52,40,0.0,0.0,0.0667,0.0857,0.175,0.2,0.24
5,1,10,47,41,0.05,0.04,0.0333,0.1143,0.15,0.1556,0.24
5,1,10,51,42,0.0,0.04,0.1,0.0857,0.15,0.1778,0.26
5,1,10,53,43,0.05,0.04,0.0333,0.0857,0.125,0.1333,0.18
5,1,10,41,44,0.05,0.04,0.0667,0.1143,0.15,0.2,0.22
5,1,10,57,45,0.0,0.0,0.0333,0.1143,0.225,0.2444,0.28
5,1,10,43,46,0.1,0.16,0.2,0.1714,0.225,0.2889,0.3
5,1,10,58,47,0.05,0.04,0.2,0.2286,0.325,0.3556,0.36
5,1,10,46,48,0.0,0.08,0.1333,0.1143,0.15,0.2,0.24
5,1,10,53,49,0.0,0.0,0.0667,0.0857,0.2,0.2667,0.32
5,1,10,50,50,0.05,0.12,0.1333,0.2,0.225,0.2667,0.36
5,1,10,54,51,0.0,0.0,0.0,0.0,0.0,0.0667,0.1
5,1,10,63,52,0.05,0.04,0.0667,0.1143,0.175,0.2444,0.3
5,1,10,49,53,0.05,0.12,0.2,0.1714,0.2,0.2889,0.36
5,1,10,61,54,0.05,0.04,0.1,0.1143,0.175,0.2444,0.22
5,1,10,51,55,0.0,0.0,0.0667,0.1429,0.225,0.2444,0.3
5,1,10,49,56,0.0,0.08,0.1,0.0857,0.2,0.2444,0.34
5,1,10,51,57,0.1,0.12,0.1333,0.2857,0.325,0.3556,0.38
5,1,10,58,58,0.05,0.16,0.2333,0.2857,0.3,0.3333,0.38
5,1,10,43,59,0.0,0.0,0.0333,0.0571,0.05,0.1333,0.2
5,1,10,57,60,0.05,0.04,0.0667,0.1143,0.15,0.2,0.22
5,1,10,53,61,0.1,0.08,0.1667,0.2,0.25,0.3333,0.36
5,1,10,43,62,0.1,0.16,0.2333,0.2,0.25,0.2889,0.34
5,1,10,53,63,0.1,0.12,0.1333,0.1714,0.15,0.2444,0.3
5,1,10,34,64,0.05,0.04,0.0667,0.0857,0.125,0.1333,0.16
5,1,10,69,65,0.0,0.0,0.0667,0.0571,0.125,0.1556,0.2
5,1,10,44,66,0.05,0.16,0.2,0.2286,0.275,0.3111,0.34
5,1,10,57,67,0.05,0.04,0.0667,0.1714,0.2,0.2444,0.3
5,1,10,63,68,0.1,0.08,0.1667,0.2,0.2,0.2667,0.3
5,1,10,50,69,0.05,0.04,0.1,0.0857,0.2,0.2444,0.26
5,1,10,58,70,0.2,0.16,0.2333,0.2571,0.25,0.2667,0.3
5,1,10,41,71,0.15,0.12,0.1,0.2,0.225,0.3111,0.34
5,1,10,47,72,0.1,0.08,0.0667,0.1429,0.2,0.2444,0.3
5,1,10,40,73,0.15,0.2,0.2,0.2,0.325,0.3333,0.34
5,1,10,43,74,0.0,0.0,0.0,0.0,0.025,0.0667,0.14
5,1,10,61,75,0.05,0.04,0.0667,0.1429,0.225,0.2444,0.26
5,1,10,39,76,0.0,0.0,0.1,0.1143,0.125,0.1556,0.22
5,1,10,40,77,0.15,0.16,0.1667,0.2,0.275,0.3333,0.36
5,1,10,57,78,0.05,0.04,0.0667,0.0857,0.125,0.1111,0.14
5,1,10,53,79,0.05,0.04,0.0667,0.2,0.2,0.2667,0.32
5,1,10,47,80,0.1,0.2,0.2,0.2571,0.3,0.3556,0.4
5,1,10,47,81,0.15,0.24,0.2667,0.2571,0.3,0.3333,0.42
5,1,10,29,82,0.05,0.04,0.0667,0.0571,0.075,0.0889,0.16
5,1,10,39,83,0.05,0.12,0.1667,0.2571,0.275,0.3333,0.38
5,1,10,31,84,0.05,0.04,0.0667,0.0571,0.075,0.1111,0.18
5,1,10,54,85,0.05,0.12,0.1,0.1714,0.225,0.2889,0.34
5,1,10,51,86,0.05,0.04,0.1,0.2,0.25,0.3333,0.38
5,1,10,60,87,0.0,0.0,0.0333,0.0571,0.125,0.1556,0.18
5,1,10,61,88,0.0,0.0,0.0,0.0286,0.1,0.1778,0.24
5,1,10,54,89,0.0,0.0,0.0333,0.0571,0.075,0.1333,0.22
5,1,10,56,90,0.05,0.12,0.1667,0.1714,0.3,0.3111,0.38
5,1,10,42,91,0.1,0.08,0.0667,0.0857,0.1,0.1778,0.22
5,1,10,33,92,0.0,0.04,0.1,0.0857,0.1,0.1111,0.18
5,1,10,36,93,0.15,0.12,0.1,0.1143,0.125,0.1333,0.16
5,1,10,47,94,0.1,0.08,0.1,0.1143,0.125,0.1556,0.22
5,1,10,37,95,0.0,0.0,0.1,0.1429,0.2,0.2,0.24
5,1,10,56,96,0.1,0.08,0.1,0.1143,0.125,0.1778,0.24
5,1,10,47,97,0.15,0.16,0.1667,0.1429,0.125,0.1778,0.2
5,1,10,61,98,0.1,0.08,0.1333,0.1429,0.15,0.2,0.28
5,1,10,58,99,0.1,0.08,0.1333,0.2,0.25,0.2222,0.3
5,5,10,114,0,1.0,0.88,0.8333,0.8,0.7,0.6667,0.68
5,5,10,107,1,0.0,0.0,0.1,0.1143,0.15,0.1778,0.24
5,5,10,79,2,0.0,0.0,0.0333,0.0286,0.15,0.1556,0.16
5,5,10,124,3,0.0,0.0,0.0,0.0857,0.125,0.1556,0.2
5,5,10,98,4,0.0,0.08,0.1,0.0857,0.1,0.1778,0.24
5,5,10,114,5,0.05,0.16,0.2333,0.2857,0.35,0.3556,0.38
5,5,10,110,6,0.05,0.04,0.0333,0.0286,0.05,0.0444,0.06
5,5,10,92,7,0.05,0.04,0.0667,0.0857,0.175,0.2667,0.3
5,5,10,128,8,0.1,0.08,0.1,0.1143,0.125,0.1333,0.18
5,5,10,110,9,0.0,0.12,0.2,0.3143,0.375,0.4,0.36
5,5,10,103,10,0.0,0.04,0.1,0.0857,0.1,0.1111,0.2
5,5,10,113,11,0.05,0.16,0.2333,0.2286,0.2,0.2222,0.26
5,5,10,107,12,0.1,0.16,0.2,0.2,0.2,0.2444,0.3
5,5,10,115,13,0.1,0.08,0.2,0.2857,0.325,0.3778,0.34
5,5,10,116,14,0.05,0.04,0.0333,0.2,0.2,0.2444,0.24
5,5,10,125,15,0.0,0.04,0.1667,0.1714,0.2,0.2222,0.22
5,5,10,111,16,0.1,0.12,0.1667,0.2286,0.225,0.2444,0.3
5,5,10,121,17,0.0,0.0,0.0,0.0286,0.05,0.1111,0.14
5,5,10,112,18,0.05,0.04,0.1333,0.2286,0.25,0.3333,0.36
5,5,10,122,19,0.1,0.08,0.1,0.2,0.2,0.2222,0.24
5,5,10,118,20,0.1,0.08,0.0667,0.1714,0.225,0.2667,0.28
5,5,10,70,21,0.1,0.12,0.2333,0.2,0.2,0.1778,0.2
5,5,10,106,22,0.05,0.04,0.0333,0.0857,0.125,0.2222,0.22
5,5,10,123,23,0.05,0.16,0.2333,0.2571,0.275,0.3333,0.3
5,5,10,102,24,0.05,0.08,0.1667,0.2286,0.25,0.2667,0.32
5,5,10,140,25,0.1,0.08,0.0667,0.1429,0.175,0.2222,0.24
5,5,10,117,26,0.1,0.08,0.1,0.2571,0.275,0.2667,0.24
5,5,10,98,27,0.05,0.12,0.1,0.1143,0.125,0.1111,0.14
5,5,10,107,28,0.1,0.08,0.0667,0.1714,0.15,0.1778,0.2
5,5,10,134,29,0.15,0.16,0.2,0.2857,0.325,0.3111,0.3
5,5,10,112,30,0.05,0.04,0.1,0.0857,0.1,0.1556,0.16
5,5,10,111,31,0.0,0.04,0.0667,0.0857,0.1,0.1556,0.22
5,5,10,97,32,0.1,0.08,0.1,0.1429,0.2,0.2889,0.32
5,5,10,115,33,0.05,0.12,0.1333,0.2286,0.3,0.3333,0.34
5,5,10,108,34,0.05,0.12,0.1333,0.2286,0.25,0.2667,0.28
5,5,10,119,35,0.05,0.12,0.1,0.1143,0.1,0.1333,0.14
5,5,10,106,36,0.0,0.04,0.0667,0.0857,0.075,0.0889,0.16
5,5,10,91,37,0.0,0.04,0.0333,0.1143,0.15,0.2,0.28
